"Cliente","Marca1","Marca2","Marca3","Marca_Inno1","Marca_Inno2"
10,0.272380952380952,0,0,0.139047619047619,0.139047619047619
12,0.415238095238095,0.361904761904762,0,0,0
14,0.203809523809524,0,0.161904761904762,0,0
15,0,0,0.451428571428571,0,0
18,0.325714285714286,0,0.28952380952381,0,0
24,0,0,0,0,0
26,0.142857142857143,0,0,0,0
33,0.127619047619048,0,0,0,0
35,0.12952380952381,0.468571428571429,0,0,0
40,0.942857142857143,0,0.150476190476191,0,0
48,0.127619047619048,0.179047619047619,0,0,0
54,0,0,0,0,0
57,0.106666666666667,0,0,0,0
58,0,0,0,0,0
63,0.00952380952380952,0,0,0,0
77,0.417142857142857,0.228571428571429,0,0,0
78,0.171428571428571,0.060952380952381,0,0,0
89,0.203809523809524,0,0,0,0
103,0.325714285714286,0,0.139047619047619,0,0
112,0.106666666666667,0.059047619047619,0,0,0
113,0.260952380952381,0.0990476190476191,0,0,0
130,0.584761904761905,0,0,0,0
135,0,0,0,0,0
136,0.417142857142857,0,0,0,0
150,0.234285714285714,0,0.161904761904762,0,0
171,0,0,0,0,0
173,0,0,0,0,0
177,0.224761904761905,0,0,0,0
183,0.207619047619048,0,0,0,0
185,0,0,0,0,0
199,0,0,0.150476190476191,0,0
206,0,0.243809523809524,0,0,0
210,0,0,0,0,0
212,0.302857142857143,0.398095238095238,0,0.150476190476191,0
216,0.118095238095238,0,0,0,0
217,0,0,0,0,0
230,0,0,0,0,0
231,0.0133333333333333,0,0,0,0
233,0.771428571428572,0.148571428571429,0,0,0
235,0,0,0,0,0
237,0,0,0,0,0
241,0.44,0,0,0,0
242,0.0247619047619048,0.139047619047619,0,0,0
245,0,0,0,0,0
255,0,0,0,0,0
258,0.0704761904761905,0,0,0,0
259,0,0,0,0,0
263,0.325714285714286,0.173333333333333,0,0,0
265,0.539047619047619,0,0.161904761904762,0,0
267,0.224761904761905,0,0,0,0
274,0.167619047619048,0,0,0.161904761904762,0.161904761904762
276,0.198095238095238,0,0,0,0
277,0.156190476190476,0,0,0,0
279,0.348571428571429,0.194285714285714,0,0,0
280,0.0895238095238095,0,0,0,0
281,0.361904761904762,0.0857142857142858,0,0,0
283,0.398095238095238,0.361904761904762,0,0,0
287,0.059047619047619,0,0,0,0
288,0.36952380952381,0.156190476190476,0,0,0
300,0.942857142857143,0.358095238095238,0,0,0
305,0,0,0,0,0
313,0.019047619047619,0,0,0,0
315,0.457142857142857,0,0,0,0
321,0.281904761904762,0,0,0,0
324,0.0819047619047619,0,0,0,0
329,0.243809523809524,0,0,0,0
333,0.961904761904762,0.386666666666667,0,0,0
334,0,0,0,0,0
336,0,0,0,0,0
339,0.624761904761905,0,0,0,0
343,0.0742857142857143,0,0,0,0
348,0.127619047619048,0,0,0,0
351,0.302857142857143,0,0,0,0
352,0.626666666666667,0.31047619047619,0,0,0
354,0.201904761904762,0,0,0,0
355,0,0,0,0,0
359,0,0.196190476190476,0,0,0
360,0.12952380952381,0,0,0,0
365,0.241904761904762,0,0,0,0
370,0.108571428571429,0.0971428571428572,0,0,0
372,0.847619047619048,0.158095238095238,0,0,0
374,0.895238095238095,0,0,0.161904761904762,0.161904761904762
377,0.411428571428571,0.0247619047619048,0,0,0
381,0.56,0.358095238095238,0,0,0
385,0,0,0,0,0
397,0,0,0,0,0
399,0.00952380952380952,0,0,0,0
405,0,0,0,0,0
411,0.165714285714286,0,0,0,0
417,0.782857142857143,0.060952380952381,0,0,0
418,0.493333333333333,0.213333333333333,0,0,0
419,0.491428571428571,0,0,0,0
421,0.354285714285714,0,0,0,0
431,0.0933333333333333,0,0,0,0
435,0.523809523809524,0.163809523809524,0,0.150476190476191,0.150476190476191
438,0.121904761904762,0.186666666666667,0,0,0
439,0.104761904761905,0,0,0,0
443,0,0,0,0,0
446,0.847619047619048,0.2,0.312380952380952,0,0
447,0.641904761904762,0.139047619047619,0,0,0
464,0,0,0,0,0
465,0.386666666666667,0,0,0,0
468,0.0933333333333333,0,0,0,0
472,0,0,0,0,0
475,0.165714285714286,0,0,0,0
480,0.220952380952381,0.234285714285714,0.139047619047619,0,0
488,0.142857142857143,0,0,0,0
